sort,study,ref,source,species,taxon,thermy,growth,climate_pop,climate_sp,breeding,dispersal,migration,mating,parenting,SSD,ageclass,trait,unit,direction,category,background,Mean_M,SD_M,M_n,Mean_F,SD_F,F_n,behavioural categories,physiological category,Dependency temporal level,Dependency individual level,Dependency behaviour,notes,include_1,reason for exclusion,include_2
11,66,"Callicrate, TE; Siewerdt, F; Koutsos, E; Estevez, I",10.1016/j.applanim.2010.11.014,Melopsittacus undulatus,bird,endotherm,determinate,arid,arid,iteroparous,no sex bias,yes,social monogamy,both,no difference,adults,"Activity level, attractive novel object",No,high values = fast,behavior,lab,0.75,0.50,4.00,0.80,0.83,5.00,activity,,0,1,1, ,1,,1
12,66,"Callicrate, TE; Siewerdt, F; Koutsos, E; Estevez, I",10.1016/j.applanim.2010.11.014,Melopsittacus undulatus,bird,endotherm,determinate,arid,arid,iteroparous,no sex bias,yes,social monogamy,both,no difference,adults,Seeds eaten alone (number seeds eaten),No,high values = fast,behavior,lab,189.44,197.18,5.00,22.33,50.88,6.00,foraging,,0,1,3, ,0,", not a POLS trait",0
13,66,"Callicrate, TE; Siewerdt, F; Koutsos, E; Estevez, I",10.1016/j.applanim.2010.11.014,Melopsittacus undulatus,bird,endotherm,determinate,arid,arid,iteroparous,no sex bias,yes,social monogamy,both,no difference,adults,Latency to resume eating after predator threat,s,high values = slow,behavior,lab,111.00,96.14,4.00,395.40,313.23,5.00,boldness,,0,1,2, ,1,,1
14,66,"Callicrate, TE; Siewerdt, F; Koutsos, E; Estevez, I",10.1016/j.applanim.2010.11.014,Melopsittacus undulatus,bird,endotherm,determinate,arid,arid,iteroparous,no sex bias,yes,social monogamy,both,no difference,adults,Lysis at 20 min,score,high values = slow,physiology,lab,1.25,1.50,4.00,2.00,1.64,4.00,NA,immun,1,1,NA,all immune variables measured from same blood sample ,1,,1
15,66,"Callicrate, TE; Siewerdt, F; Koutsos, E; Estevez, I",10.1016/j.applanim.2010.11.014,Melopsittacus undulatus,bird,endotherm,determinate,arid,arid,iteroparous,no sex bias,yes,social monogamy,both,no difference,adults,Agglutination at 20 min,score,high values = slow,physiology,lab,4.25,3.68,4.00,5.25,1.26,4.00,NA,immun,2,1,NA,all immune variables measured from same blood sample ,1,,1
16,66,"Callicrate, TE; Siewerdt, F; Koutsos, E; Estevez, I",10.1016/j.applanim.2010.11.014,Melopsittacus undulatus,bird,endotherm,determinate,arid,arid,iteroparous,no sex bias,yes,social monogamy,both,no difference,adults,Lysis at 90 min,score,high values = slow,physiology,lab,0.75,0.96,4.00,0.25,0.50,4.00,NA,immun,1,1,NA,all immune variables measured from same blood sample ,1,,1
17,66,"Callicrate, TE; Siewerdt, F; Koutsos, E; Estevez, I",10.1016/j.applanim.2010.11.014,Melopsittacus undulatus,bird,endotherm,determinate,arid,arid,iteroparous,no sex bias,yes,social monogamy,both,no difference,adults,Agglutination at 90 min,score,high values = slow,physiology,lab,2.75,2.22,4.00,3.00,1.16,4.00,NA,immun,2,1,NA,all immune variables measured from same blood sample ,1,,1
18,66,"Callicrate, TE; Siewerdt, F; Koutsos, E; Estevez, I",10.1016/j.applanim.2010.11.014,Melopsittacus undulatus,bird,endotherm,determinate,arid,arid,iteroparous,no sex bias,yes,social monogamy,both,no difference,adults,Percentage of bacteria killed,score,high values = slow,physiology,lab,25.75,32.32,4.00,74.00,36.30,4.00,NA,immun,0,1,NA,all immune variables measured from same blood sample ,1,,1
19,66,"Callicrate, TE; Siewerdt, F; Koutsos, E; Estevez, I",10.1016/j.applanim.2010.11.014,Melopsittacus undulatus,bird,endotherm,determinate,arid,arid,iteroparous,no sex bias,yes,social monogamy,both,no difference,adults,"Activity level, unfamiliar flock",No,high values = fast,behavior,lab,8.25,12.68,4.00,1.50,1.37,6.00,activity,,0,1,1, ,1,,1
20,66,"Callicrate, TE; Siewerdt, F; Koutsos, E; Estevez, I",10.1016/j.applanim.2010.11.014,Melopsittacus undulatus,bird,endotherm,determinate,arid,arid,iteroparous,no sex bias,yes,social monogamy,both,no difference,adults,Seeds eaten in competititon,No,high values = fast,behavior,lab,207.40,250.73,5.00,48.50,30.50,6.00,foraging,,0,1,3, ,0,", not a POLS trait",0
21,250,"Korsten, P; van Overveld, T; Adriaensen, F; Matthysen, E",10.1038/ncomms3362,Parus major,bird,endotherm,determinate,temperate,temperate,iteroparous,female biased,no,social monogamy,both,males larger,juvenile,dispersal distance,m,high values = fast,behavior,wild,423.00,410.11,657.00,631.00,526.62,573.00,dispersal,,0,0,0, ,1,,1
22,210,"Hinton, MG; Bendelow, A; Lantz, S; Wey, TW; Schoen, L; Brockett, R; Karubian, J",10.1002/zoo.21078,Phoenicopterus ruber,bird,endotherm,determinate,tropical,tropical,iteroparous,no sex bias,yes,promiscuity,both,males larger,adults,No. Of aggression,No,high values = fast,behavior,wild,2.72,0.96,16.00,1.84,0.42,18.00,aggression,,1,1,1,same trait measured in the same individuals before and after pair pair-bond ,1,,1
23,210,"Hinton, MG; Bendelow, A; Lantz, S; Wey, TW; Schoen, L; Brockett, R; Karubian, J",10.1002/zoo.21078,Phoenicopterus ruber,bird,endotherm,determinate,tropical,tropical,iteroparous,no sex bias,yes,promiscuity,both,males larger,adults,No. Of aggression,No,high values = fast,behavior,wild,4.41,0.84,16.00,2.76,0.81,18.00,aggression,,1,1,1,same trait measured in the same individuals before and after pair pair-bond ,1,,1
24,284,"Mainwaring, MC; Beal, JL; Hartley, IR",10.1016/j.beproc.2011.03.005,Taeniopygia guttata,bird,endotherm,determinate,tropical,tropical,iteroparous,no sex bias,no,social monogamy,both,no difference,mixed,No. Of feeders visited in NE,No,high values = fast,behavior,lab,1.10,1.39,31.00,2.20,2.06,17.00,exploration,,0,1,1,Fig 2 A ,1,,1
25,284,"Mainwaring, MC; Beal, JL; Hartley, IR",10.1016/j.beproc.2011.03.005,Taeniopygia guttata,bird,endotherm,determinate,tropical,tropical,iteroparous,no sex bias,no,social monogamy,both,no difference,mixed,NO score,score,high values = fast,behavior,lab,2.00,1.11,31.00,2.90,0.93,17.00,exploration,,0,1,1,Fig 2B ,1,,1
26,471,"van den Brink, V; Dreiss, AN; Roulin, A",10.1016/j.anbehav.2012.07.001,Tyto alba,bird,endotherm,determinate,temperate,global,iteroparous,female biased,no,social monogamy,both,females larger,juvenile,dispersal distance,km,high values = fast,behavior,wild,8.70,7.54,116.00,11.20,7.48,69.00,dispersal,,0,0,0, ,1,,1
27,194,"Harris, S; Eroukhmanoff, F; Green, KK; Svensson, EI; Pettersson, LB",10.1111/j.1420-9101.2011.02322.x,Asellus aquaticus,arthropod,ectotherm,indeterminate,temperate,temperate,semelparous,unknown,no,promiscuity,none,males larger,adults,Emergence time,s,high values = slow,behavior,semiwild,95.00,97.89,175.00,125.00,107.48,200.00,boldness,,0,1,0, ,1,,1
28,194,"Harris, S; Eroukhmanoff, F; Green, KK; Svensson, EI; Pettersson, LB",10.1111/j.1420-9101.2011.02322.x,Asellus aquaticus,arthropod,ectotherm,indeterminate,temperate,temperate,semelparous,unknown,no,promiscuity,none,males larger,adults,No. Of stopps during exploration,No,high values = slow,behavior,semiwild,6.40,3.97,175.00,5.50,4.24,200.00,exploration,,0,1,0, ,1,,1
29,467,"Vainikka, A; Rantala, MJ; Niemela, P; Hirvonen, H; Kortet, R",10.1007/s10211-010-0086-1,Astacus astacus,arthropod,ectotherm,unknown,cold,cold,iteroparous,unknown,no,promiscuity,female,males larger,juvenile,Emergence time,s,high values = slow,behavior,lab,48.00,59.16,35.00,10.00,57.65,46.00,boldness,,0,0,0,Fig 2 (control) ,1,,1
30,348,"Norton, WHJ; Stumpenhorst, K; Faus-Kessler, T; Folchert, A; Rohner, N; Harris, MP; Callebert, J; Bally-Cuif, L",10.1523/JNEUROSCI.2892-11.2011,Danio rerio,fish,ectotherm,indeterminate,Tropical,Tropical,iteroparous,unknown,no,promiscuity,none,females larger,adults,aggression,sec,high values = fast,behavior,lab,31.00,34.79,10.00,26.00,15.81,10.00,aggression,,0,0,0,Fig. 2B ,1,,1
31,293,"Martins, CIM; Schaedelin, FC; Mann, M; Blum, C; Mandl, I; Urban, D; Grill, J; Schosswender, J; Wagner, RH",10.1163/156853912X634430,Neolamprologus caudopunctatus,fish,ectotherm,indeterminate,Tropical,Tropical,iteroparous,female biased,no,social monogamy,both,males larger,adults,time spent swimming in NE,s,high values = fast,behavior,lab,139.40,95.48,23.00,145.46,115.79,20.00,exploration,,0,1,1,"time in flower pot and time swimming add up to 100 % of the time, No. Of fin spreads could only be observed during time spent swimming ",1,,1
32,293,"Martins, CIM; Schaedelin, FC; Mann, M; Blum, C; Mandl, I; Urban, D; Grill, J; Schosswender, J; Wagner, RH",10.1163/156853912X634430,Neolamprologus caudopunctatus,fish,ectotherm,indeterminate,Tropical,Tropical,iteroparous,female biased,no,social monogamy,both,males larger,adults,Time spent in flower pot NE,s,high values = slow,behavior,lab,332.64,258.47,23.00,439.10,289.66,20.00,exploration,,0,1,1,"time in flower pot and time swimming add up to 100 % of the time, No. Of fin spreads could only be observed during time spent swimming ",1,,1
33,293,"Martins, CIM; Schaedelin, FC; Mann, M; Blum, C; Mandl, I; Urban, D; Grill, J; Schosswender, J; Wagner, RH",10.1163/156853912X634430,Neolamprologus caudopunctatus,fish,ectotherm,indeterminate,Tropical,Tropical,iteroparous,female biased,no,social monogamy,both,males larger,adults,No. of fin spreads NE,No,high values = fast,behavior,lab,5.53,5.83,23.00,4.40,5.60,20.00,exploration,,0,1,1,"time in flower pot and time swimming add up to 100 % of the time, No. Of fin spreads could only be observed during time spent swimming ",1,,1
34,293,"Martins, CIM; Schaedelin, FC; Mann, M; Blum, C; Mandl, I; Urban, D; Grill, J; Schosswender, J; Wagner, RH",10.1163/156853912X634430,Neolamprologus caudopunctatus,fish,ectotherm,indeterminate,Tropical,Tropical,iteroparous,female biased,no,social monogamy,both,males larger,adults,Time spent in flower pot NO,s,high values = slow,behavior,lab,747.34,403.24,23.00,811.78,396.53,20.00,exploration,,0,1,1,"time spent in hot zone depends on the time in flower pot because the fish can only be in the hot zone when he is not in the flower pot, No. Of fin spreads can only be observed when the fish is not in the flower pot, no indication that time No. of depend on the time in the hot zone because it can only be touched there ",1,,1
35,293,"Martins, CIM; Schaedelin, FC; Mann, M; Blum, C; Mandl, I; Urban, D; Grill, J; Schosswender, J; Wagner, RH",10.1163/156853912X634430,Neolamprologus caudopunctatus,fish,ectotherm,indeterminate,Tropical,Tropical,iteroparous,female biased,no,social monogamy,both,males larger,adults,Time spent in hot zone NO,s,high values = fast,behavior,lab,116.91,141.59,23.00,127.84,160.07,20.00,exploration,,0,1,1,"time spent in hot zone depends on the time in flower pot because the fish can only be in the hot zone when he is not in the flower pot, No. Of fin spreads can only be observed when the fish is not in the flower pot, no indication that time No. of depend on the time in the hot zone because it can only be touched there ",1,,1
36,293,"Martins, CIM; Schaedelin, FC; Mann, M; Blum, C; Mandl, I; Urban, D; Grill, J; Schosswender, J; Wagner, RH",10.1163/156853912X634430,Neolamprologus caudopunctatus,fish,ectotherm,indeterminate,Tropical,Tropical,iteroparous,female biased,no,social monogamy,both,males larger,adults,No. of touched objects,No,high values = fast,behavior,lab,1.39,1.85,23.00,1.21,1.90,20.00,exploration,,0,1,1,"time spent in hot zone depends on the time in flower pot because the fish can only be in the hot zone when he is not in the flower pot, No. Of fin spreads can only be observed when the fish is not in the flower pot, no indication that time No. of depend on the time in the hot zone because it can only be touched there ",1,,1
37,293,"Martins, CIM; Schaedelin, FC; Mann, M; Blum, C; Mandl, I; Urban, D; Grill, J; Schosswender, J; Wagner, RH",10.1163/156853912X634430,Neolamprologus caudopunctatus,fish,ectotherm,indeterminate,Tropical,Tropical,iteroparous,female biased,no,social monogamy,both,males larger,adults,No. of fin spreads,No,high values = fast,behavior,lab,5.91,8.10,23.00,2.73,3.89,20.00,exploration,,0,1,1,"time spent in hot zone depends on the time in flower pot because the fish can only be in the hot zone when he is not in the flower pot, No. Of fin spreads can only be observed when the fish is not in the flower pot, no indication that time No. of depend on the time in the hot zone because it can only be touched there ",1,,1
38,421,"Schurch, R; Rothenberger, S; Heg, D",10.1098/rstb.2010.0177,Neolamprologus pulcher,fish,ectotherm,indeterminate,Tropical,Tropical,iteroparous,male biased,no,polygyny,both,males larger,unknown,territory defence (dominant),number of patches,high values = fast,behavior,lab,3.10,1.90,26.00,1.80,1.00,26.00,NA,,NA,NA,NA, ,0,"not a POLS a trait, ",0
39,421,"Schurch, R; Rothenberger, S; Heg, D",10.1098/rstb.2010.0177,Neolamprologus pulcher,fish,ectotherm,indeterminate,Tropical,Tropical,iteroparous,male biased,no,polygyny,both,males larger,unknown,territory defence (subordinant),number of patches,high values = fast,behavior,lab,1.50,0.70,54.00,1.40,0.70,46.00,NA,,NA,NA,NA, ,0,"not a POLS a trait, ",0
40,368,"Piyapong, C; Krause, J; Chapman, BB; Ramnarine, IW; Louca, V; Croft, DP",10.1093/beheco/arp142,Poecilia reticulata,fish,ectotherm,indeterminate,Tropical,Tropical,iteroparous,male biased,no,promiscuity,none,females larger,adults,shoaling with opposite sex (first move),s,high values = slow,behavior,semiwild,18.30,19.80,32.00,14.90,12.81,31.00,boldness,,0,1,1,the time to first move is included in the time to surface ,1,,1
41,368,"Piyapong, C; Krause, J; Chapman, BB; Ramnarine, IW; Louca, V; Croft, DP",10.1093/beheco/arp142,Poecilia reticulata,fish,ectotherm,indeterminate,Tropical,Tropical,iteroparous,male biased,no,promiscuity,none,females larger,adults,shoaling with same sex (first move),s,high values = slow,behavior,semiwild,13.50,27.72,32.00,44.20,57.35,31.00,boldness,,0,1,1,the time to first move is included in the time to surface ,1,,1
42,368,"Piyapong, C; Krause, J; Chapman, BB; Ramnarine, IW; Louca, V; Croft, DP",10.1093/beheco/arp142,Poecilia reticulata,fish,ectotherm,indeterminate,Tropical,Tropical,iteroparous,male biased,no,promiscuity,none,females larger,adults,shoaling with opposite sex (time to surface),s,high values = slow,behavior,semiwild,233.20,193.46,32.00,159.90,185.41,31.00,boldness,,0,1,1,the time to first move is included in the time to surface ,1,,1
43,368,"Piyapong, C; Krause, J; Chapman, BB; Ramnarine, IW; Louca, V; Croft, DP",10.1093/beheco/arp142,Poecilia reticulata,fish,ectotherm,indeterminate,Tropical,Tropical,iteroparous,male biased,no,promiscuity,none,females larger,adults,shoaling with same sex (time to surface),s,high values = slow,behavior,semiwild,72.00,102.95,32.00,299.60,221.60,31.00,boldness,,0,1,1,the time to first move is included in the time to surface ,1,,1
44,19,"Ariyomo, TO; Watt, PJ",10.1093/beheco/art070,Poecilia reticulata,fish,ectotherm,indeterminate,Tropical,Tropical,iteroparous,male biased,no,promiscuity,none,females larger,adults,lines crossed in Open field,No,high values = fast,behavior,lab,106.23,39.80,80.00,77.80,50.36,80.00,boldness,,0,0,0, ,1,,1
45,501,"Wilson, ADM; Whattam, EM; Bennett, R; Visanuvimol, L; Lauzon, C; Bertram, SM",10.1007/s00265-009-0888-1,Acheta domesticus,arthropod,ectotherm,determinate,artificial,artificial,semelparous,unknown,no,promiscuity,none,males larger,adults,activity-walking forward,s,high values = fast,behavior,lab,26.19,41.37,69.00,56.85,68.51,80.00,activity,,0,1,1,"all variables given an ""a"" come from the same test. All behaviours can only be performed while being active and add up to 100 % time spect active ",1,,1
46,501,"Wilson, ADM; Whattam, EM; Bennett, R; Visanuvimol, L; Lauzon, C; Bertram, SM",10.1007/s00265-009-0888-1,Acheta domesticus,arthropod,ectotherm,determinate,artificial,artificial,semelparous,unknown,no,promiscuity,none,males larger,adults,climbing,s,high values = fast,behavior,lab,0.71,2.82,69.00,2.13,4.83,80.00,activity,,0,1,1,"all variables given an ""a"" come from the same test. All behaviours can only be performed while being active and add up to 100 % time spect active ",1,,1
47,501,"Wilson, ADM; Whattam, EM; Bennett, R; Visanuvimol, L; Lauzon, C; Bertram, SM",10.1007/s00265-009-0888-1,Acheta domesticus,arthropod,ectotherm,determinate,artificial,artificial,semelparous,unknown,no,promiscuity,none,males larger,adults,turning around,No,high values = fast,behavior,lab,0.62,1.66,69.00,0.50,1.34,80.00,activity,,0,1,1,"all variables given an ""a"" come from the same test. All behaviours can only be performed while being active and add up to 100 % time spect active ",1,,1
48,501,"Wilson, ADM; Whattam, EM; Bennett, R; Visanuvimol, L; Lauzon, C; Bertram, SM",10.1007/s00265-009-0888-1,Acheta domesticus,arthropod,ectotherm,determinate,artificial,artificial,semelparous,unknown,no,promiscuity,none,males larger,adults,Walking backwards,s,high values = fast,behavior,lab,2.25,4.90,69.00,3.61,5.28,80.00,activity,,0,1,1,"all variables given an ""a"" come from the same test. All behaviours can only be performed while being active and add up to 100 % time spect active ",1,,1
49,501,"Wilson, ADM; Whattam, EM; Bennett, R; Visanuvimol, L; Lauzon, C; Bertram, SM",10.1007/s00265-009-0888-1,Acheta domesticus,arthropod,ectotherm,determinate,artificial,artificial,semelparous,unknown,no,promiscuity,none,males larger,adults,Latency to emerge following threat,s,high values = slow,behavior,lab,69.29,63.46,69.00,56.35,48.93,80.00,boldness,,0,1,2, ,1,,1
50,501,"Wilson, ADM; Whattam, EM; Bennett, R; Visanuvimol, L; Lauzon, C; Bertram, SM",10.1007/s00265-009-0888-1,Acheta domesticus,arthropod,ectotherm,determinate,artificial,artificial,semelparous,unknown,no,promiscuity,none,males larger,adults,Latency to autotomize limb,s,high values = fast,behavior,lab,7.97,10.38,69.00,7.83,9.93,80.00,boldness,,0,1,2, ,1,,1
51,501,"Wilson, ADM; Whattam, EM; Bennett, R; Visanuvimol, L; Lauzon, C; Bertram, SM",10.1007/s00265-009-0888-1,Acheta domesticus,arthropod,ectotherm,determinate,artificial,artificial,semelparous,unknown,no,promiscuity,none,males larger,adults,Latency to emerge post autotomy,s,high values = slow,behavior,lab,71.64,66.87,69.00,43.71,48.12,80.00,boldness,,0,1,2, ,1,,1
52,501,"Wilson, ADM; Whattam, EM; Bennett, R; Visanuvimol, L; Lauzon, C; Bertram, SM",10.1007/s00265-009-0888-1,Acheta domesticus,arthropod,ectotherm,determinate,artificial,artificial,semelparous,unknown,no,promiscuity,none,males larger,adults,Latency to emerge,s,high values = slow,behavior,lab,80.53,69.86,69.00,69.19,58.85,80.00,boldness,,0,1,2, ,1,,1
53,501,"Wilson, ADM; Whattam, EM; Bennett, R; Visanuvimol, L; Lauzon, C; Bertram, SM",10.1007/s00265-009-0888-1,Acheta domesticus,arthropod,ectotherm,determinate,artificial,artificial,semelparous,unknown,no,promiscuity,none,males larger,adults,Latency to touch object,s,high values = slow,behavior,lab,58.20,76.09,69.00,36.93,55.54,80.00,boldness,,0,1,2, ,1,,1
54,340,"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T",10.1016/j.jinsphys.2012.02.011,Tribolium confusum,arthropod,ectotherm,determinate,artificial,artificial,semelparous,no sex bias,no,promiscuity,none,no difference,adults,duration of tonic immobility,s,high values = slow,behavior,lab,316.67,558.71,18.00,300.00,495.07,18.00,boldness,,0,1,0,"From Figure 1: strain 1 selected for LONG duration of tonic immobility NO CAFFEINE TREATMENT;  Individuals originate from 10 breeding pairs (beetles), offspring randomly spread over treatments ",1,,1
55,340,"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T",10.1016/j.jinsphys.2012.02.011,Tribolium confusum,arthropod,ectotherm,determinate,artificial,artificial,semelparous,no sex bias,no,promiscuity,none,no difference,adults,duration of tonic immobility,s,high values = slow,behavior,lab,1.87,5.66,18.00,2.88,11.67,18.00,boldness,,0,2,0,From Figure 1: strain 1 selected for SHORTduration of tonic immobility NO CAFFEINE TREATMENT ,1,,1
56,340,"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T",10.1016/j.jinsphys.2012.02.011,Tribolium confusum,arthropod,ectotherm,determinate,artificial,artificial,semelparous,no sex bias,no,promiscuity,none,no difference,adults,duration of tonic immobility,s,high values = slow,behavior,lab,275.00,424.35,18.00,366.68,707.25,18.00,boldness,,0,3,0,From Figure 1: strain 2 selected for LONG duration of tonic immobility NO CAFFEINE TREATMENT ,1,,1
57,340,"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T",10.1016/j.jinsphys.2012.02.011,Tribolium confusum,arthropod,ectotherm,determinate,artificial,artificial,semelparous,no sex bias,no,promiscuity,none,no difference,adults,duration of tonic immobility,s,high values = slow,behavior,lab,3.98,7.93,18.00,0.94,2.38,18.00,boldness,,0,4,0,From Figure 1: strain 2  selected for SHORT duration of tonic immobility NO CAFFEINE TREATMENT ,1,,1
58,340,"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T",10.1016/j.jinsphys.2012.02.011,Tribolium confusum,arthropod,ectotherm,determinate,artificial,artificial,semelparous,no sex bias,no,promiscuity,none,no difference,adults,duration of tonic immobility,s,high values = slow,behavior,lab,358.35,488.00,18.00,150.00,141.45,18.00,boldness,,0,5,0,From Figure 1: strain 3  selected for LONG duration of tonic immobility NO CAFFEINE TREATMENT ,1,,1
59,340,"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T",10.1016/j.jinsphys.2012.02.011,Tribolium confusum,arthropod,ectotherm,determinate,artificial,artificial,semelparous,no sex bias,no,promiscuity,none,no difference,adults,duration of tonic immobility,s,high values = slow,behavior,lab,1.84,3.97,18.00,2.54,6.80,18.00,boldness,,0,6,0,From Figure 1: strain 3 selected for SHORT duration of tonic immobility NO CAFFEINE TREATMENT ,1,,1
60,340,"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T",10.1016/j.jinsphys.2012.02.011,Tribolium confusum,arthropod,ectotherm,determinate,artificial,artificial,semelparous,no sex bias,no,promiscuity,none,no difference,adults,duration of tonic immobility,s,high values = slow,behavior,lab,66.66,106.11,18.00,65.01,70.72,18.00,NA,,NA,NA,NA,From Figure 1: strain 1 selected for LONG duration of tonic immobility CAFFEINE TREATMENT ,0,", levels dropped because too complicated dependencies",0
61,340,"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T",10.1016/j.jinsphys.2012.02.011,Tribolium confusum,arthropod,ectotherm,determinate,artificial,artificial,semelparous,no sex bias,no,promiscuity,none,no difference,adults,duration of tonic immobility,s,high values = slow,behavior,lab,0.35,0.91,18.00,3.88,9.06,18.00,NA,,NA,NA,NA,From Figure 1: strain 1 selected for SHORT duration of tonic immobility CAFFEINE TREATMENT ,0,", levels dropped because too complicated dependencies",0
62,340,"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T",10.1016/j.jinsphys.2012.02.011,Tribolium confusum,arthropod,ectotherm,determinate,artificial,artificial,semelparous,no sex bias,no,promiscuity,none,no difference,adults,duration of tonic immobility,s,high values = slow,behavior,lab,83.33,70.72,18.00,65.01,70.72,18.00,NA,,NA,NA,NA,From Figure 1: strain 2 selected for LONG duration of tonic immobility CAFFEINE TREATMENT ,0,", levels dropped because too complicated dependencies",0
63,340,"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T",10.1016/j.jinsphys.2012.02.011,Tribolium confusum,arthropod,ectotherm,determinate,artificial,artificial,semelparous,no sex bias,no,promiscuity,none,no difference,adults,duration of tonic immobility,s,high values = slow,behavior,lab,3.61,11.10,18.00,4.01,6.80,18.00,NA,,NA,NA,NA,From Figure 1: strain 2 selected for SHORT duration of tonic immobility CAFFEINE TREATMENT ,0,", levels dropped because too complicated dependencies",0
